MONTO_TOTAL,ANIO,ESTADO
11153239.659999967,2014,Aguascalientes
8681223.810000027,2014,"Baja California"
7736730.37000001,2014,"Baja California Sur"
11538207.039999973,2014,Campeche
11218464.049999986,2014,Chiapas
9854347.350000007,2014,Chihuahua
16135186.699999923,2014,"Coahuila de Zaragoza"
12877916.889999978,2014,Colima
6568934.699999974,2014,"Distrito Federal"
11257700.36000003,2014,Durango
14503988.619999994,2014,Guanajuato
11342698.740000056,2014,Guerrero
8182360.620000032,2014,Hidalgo
9319889.970000029,2014,Jalisco
8286662.6999999955,2014,México
10278316.619999988,2014,"Michoacán de Ocampo"
7015401.34000001,2014,Morelos
14881124.16000005,2014,Nayarit
12856545.299999945,2014,"Nuevo León"
12155722.47000001,2014,Oaxaca
8471733.350000018,2014,Puebla
11843327.71999999,2014,Querétaro
12527645.440000027,2014,"Quintana Roo"
12757730.190000007,2014,"San Luis Potosí"
11737987.169999998,2014,Sinaloa
10263556.140000042,2014,Sonora
11743881.770000022,2014,Tabasco
11963180.200000059,2014,Tamaulipas
14059138.449999934,2014,Tlaxcala
10171497.52000001,2014,"Veracruz de Ignacio de la Llave"
10400574.040000055,2014,Yucatán
13798032.889999969,2014,Zacatecas
11327827.500000022,2015,Aguascalientes
8438493.119999975,2015,"Baja California"
7644917.760000003,2015,"Baja California Sur"
11413485.780000048,2015,Campeche
11270648.859999992,2015,Chiapas
10006878.10000005,2015,Chihuahua
16376670.580000067,2015,"Coahuila de Zaragoza"
12935606.970000068,2015,Colima
6581600.719999995,2015,"Distrito Federal"
11049804.62000003,2015,Durango
14307075.260000039,2015,Guanajuato
11533379.509999968,2015,Guerrero
8319555.279999998,2015,Hidalgo
9116745.810000004,2015,Jalisco
8132271.810000031,2015,México
10438564.980000017,2015,"Michoacán de Ocampo"
7052266.709999962,2015,Morelos
15133221.409999993,2015,Nayarit
12598484.72999996,2015,"Nuevo León"
12084638.84000002,2015,Oaxaca
8483582.490000004,2015,Puebla
11962078.569999998,2015,Querétaro
12637725.339999983,2015,"Quintana Roo"
13023968.170000011,2015,"San Luis Potosí"
11939856.689999992,2015,Sinaloa
10134899.150000045,2015,Sonora
11740643.350000015,2015,Tabasco
12189231.419999948,2015,Tamaulipas
13875372.189999957,2015,Tlaxcala
10222049.019999973,2015,"Veracruz de Ignacio de la Llave"
10334365.080000026,2015,Yucatán
14052873.229999997,2015,Zacatecas
5904015.6200000085,2016,Aguascalientes
4521006.660000008,2016,"Baja California"
4031095.2699999847,2016,"Baja California Sur"
6127605.850000003,2016,Campeche
6050568.439999981,2016,Chiapas
5292171.869999999,2016,Chihuahua
8616333.539999971,2016,"Coahuila de Zaragoza"
6838735.219999988,2016,Colima
3421405.4199999995,2016,"Distrito Federal"
5758061.190000001,2016,Durango
7602057.359999973,2016,Guanajuato
5912513.020000001,2016,Guerrero
4422090.059999998,2016,Hidalgo
4954033.470000006,2016,Jalisco
4348452.370000002,2016,México
5515843.730000011,2016,"Michoacán de Ocampo"
3702119.7399999984,2016,Morelos
8019508.47,2016,Nayarit
6795741.99999997,2016,"Nuevo León"
6537174.069999993,2016,Oaxaca
4441389.389999992,2016,Puebla
6347235.050000019,2016,Querétaro
6676694.659999999,2016,"Quintana Roo"
6755737.260000004,2016,"San Luis Potosí"
6244702.500000004,2016,Sinaloa
5376842.12999998,2016,Sonora
6375574.95,2016,Tabasco
6294258.119999993,2016,Tamaulipas
7382398.359999996,2016,Tlaxcala
5480943.2899999935,2016,"Veracruz de Ignacio de la Llave"
5452133.610000007,2016,Yucatán
7486926.129999969,2016,Zacatecas
